@relation four-1

@attribute tweets String
@attribute authors{saadhariri,salehelnaami,sameh_asker,shamma}

@data
'ن حق اي مواطن عانى غلاء فاحش فقدان ماده غذائي راى رتل شاحنه محمل مساعده متوجه الى سوريا حلقه مسلسل تهريب يومي حد سائب غياب ثقه اجراء دوله 14',saadhariri
'طلاق رحله الى قطب شمالي عرض وضع احتياج خاص نشاط اخر دوله رئيس مجلس وزير',saadhariri
'ترؤس اجتماع كتله مستقبل نيابي حضور نائب رئيس مجلس نائب سابق فريد مكاري نائب وزير تيار سابق تناول بحث اخر مستجد سياسي وضع عام بلد',saadhariri
'بنان حكومه لبناني ناي نفس بيان وزاري حزب الله كتله نيابي سلاح مساله اقليمي نسبه نتيجه بيروت فخور بيروت',saadhariri
'طيب تهنئه مسيحي طائفه غربي مناسبه اعاد الله حال صحي اقتصادي افضل رجاء قيامه بلد حبيب',saadhariri
'سراي كبير ظهر يوم ترؤس جلسه مجلس وزير اقرار معظم بند جدول عمل',saadhariri
'قارب يه حل ازمه عربي قائمه تحويل ازمه فرصه تحويل مصيبه امل ظهر دور قطاع مصرفي عربي',saadhariri
'حريري استقبل وفد هلال احمر ي شربل درباس',saadhariri
'بحث قانون انتخاب لقاء سياسي اجتماعي حدث اخر تابع عبر حدث يوم',saadhariri
'اجرى اتصال تعزيه عائله مرحوم غازي رئيس هيئه دعم اهل معتقل سجن سوري سوليد افت منيه فجر يوم',saadhariri
'بحث علاقه ثنائي',saadhariri
'ناك توافق فخامه رئيس ميشيل عون دوله رئيس نبي بر ضروره اسراع اصلاح اداري اقتصادي اولويه مكافحه فساد شكل',saadhariri
'ختر اعتدال نهج حافظ رساله',saadhariri
'جب نسي مرحله قادم مرحله تنفيذ برنامج استثمار بنيه تحتي اكترى مشروع موزع قطاع خلق فرصه عمل الف وجب كادر بشري متخصص مهيا اداره تنفيذ',saadhariri
'يار مستقبل دفع اعتراف حمايه وقف تدخل شان شقيق عربي منع حريق سوري انتقال الى بلد دور طائفه سني معادله وطنيه اقوى سلاح سياسه ممانعه',saadhariri
'جتماعات ليلي اقرار قانون انتخاب جديد موقف اخر سلسله لقاء رئيس تابع عبر سعد',saadhariri
'سراي كبير يوم حضور حفل تخرج كليه هندسه طب موسيقى لاهوت جامعه روح قدس كسليك نيل دكتوراه فخري جامعه ترؤس اجتماع مالي دوري لقاء اخر',saadhariri
'حريري استقبل سراي حكومي مرشح رئاسه فرنسي مارين لوب مسلم معتدل هدف ارهاب متطرف',saadhariri
'حن حكومه واكب تحدي تكنولوجي جديد مستوى وزاره اعلام وزاره اتصال توفير انترنت اوفر اسرع',saadhariri
'نا سعد رفيق حريري اراهن الله فاجا راهن ضعف صوت الي فاجا عالم مقاومه اسرائيلي مقاومه فاجا عالم انتفاضه اغتيال رئيس شهيد رفيق حريري فاجا عالم الله صندوق اقتراع ب 6 ايار',saadhariri
'تافرو جبر ملحم عماد ريشتان خسر صحافه لبناني فن كاريكاتور احر تعزيه عائله اهل صحافه',saadhariri
'حريري استقبل وفد جمعيه مهرجان ثقافي',saadhariri
'يت وسط ظهر يوم بحث جهد مبذول تشكيل حكومه جديد وزير خارجيه حكومه تصريف عمل جبران باسيل عرض وضع عام شان انمائي نائب زياد حواط لقاء اخر',saadhariri
'حريري استقبل جنرال فوتيل وفد منظمه دولي هجره',saadhariri
'ين سراي بيت وسط عرض وضع عام علاقه ثنائي قائم عمل سعودي وليد بخاري استقبال وفد نيابي فرنسي اخر مؤسسه فريدريش ناومان',saadhariri
'سراي حكومي ظهر يوم مناقشه نتيجه مؤتمر در سفير بريطاني لبنان هيوغو شورتر عرض وضع عام علاقه ثنائي سفير فرنسي لبنان برونو وشي',saadhariri
'مقعد نيابي محفوظ قانون انتخاب جديد',saadhariri
'حريري بحث وزير تعاون دولي الي علاقه ثنائي',saadhariri
'لجنه وزاري رئاسه رئيس متابعه قانون انتخاب لقاء تابع عبر حدث يوم سعد',saadhariri
'ن رؤيه قدم حكومه الي مؤتمر تماشى هدف عالمي وضع اساس متين نمو توظيف تنميه',saadhariri
استقلال,saadhariri
'ن رابطه ارمينيا شعب الي ارمني تاريخي عميق متين فضل الي اصل ارمني شكل جزء تجزا نسيج اجتماعي بلد احتل منصب رفيع كافه مؤسسه دوله',saadhariri
'يت وسط ظهر يوم عرض وضع امني لبنان قائد جيش مدير عام قوه امن داخلي مدير عام امن دوله مدير عام امن عام بحث تقويه علاقه لبنان صين وفد صيني رئاسه نائب رئيس لجنه وطنيه مؤتمر استشاري سياسي شعب صيني',saadhariri
'ن يوم صاعد سكت اسمي عطل مسار اصلاحي بلد قال امر اسم',saadhariri
'اءت قدر ان ودع بطريرك مار نصر الله بطرس صفير ذكرى استشهاد مفتي حسن خالد رحم الله سيحفظهما تاريخ عظيم كرس حياه حمايه عيش مشترك تكريس دوله استقلال',saadhariri
'حريري حزب الله منع ارهاب معركه منطقه اعتدال تطرف',saadhariri
'لف مبروك منتخب لبنان بكره قدم فوز كبير منتخب كوريا شمالي قلب كبر',saadhariri
